등록일,제목,링크
2023-02-02,2023 한화생명·한화생명금융서비스 현직자 100인과 함께하는 온라인 취업상담 캠페인 <커피챗 with 한화생명·한화생명금융서비스>,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2381
2023-02-02,[스마일게이트x에픽게임즈 코리아] UNSEEN 언리얼 프로그래머 교육생 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2380
2023-01-31,서울형 뉴딜일자리 서울에너지닥터 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2379
2023-01-26,[한국지능정보사회진흥원] 양자 ICT 인턴십 프로그램,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2377
2023-01-25,「제13기 우체국예금 서포터즈」선발 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2376
2023-01-20,청소년방과후하카데미 2023년도 대학생 봉사단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2374
2023-01-17,[스마일게이트x에픽게임즈 코리아] UNSEEN 언리얼 프로그래머 교육생 모집 (~2/8),https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2370
2023-01-13,제9기 온라인 환경 홍보단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2368
2023-01-13,"2023년 바이오헬스산업 직무교육(의약품, 화장품, 의료기기 산업) 교육생 모집",https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2367
2023-01-10,"대한상공회의소 크래프톤 정글, 신한DS 금융SW아카데미 과정 훈련생 모집",https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2366
2023-01-10,멀티캠퍼스 K-Digital Training 프로젝트형 SW인재양성 교육생 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2365
2023-01-09,2023 광산구 홍보파트너 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2363
2023-01-03,Y.P.T 청년정책지원단 2기 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=7&mode=view&idx=2362
2023-01-02,[광주상공회의소] 2023년도 국가기술자격시험 일정,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2361
2022-12-26,[포스코] 청년 AI·Big Data 아카데미 21기,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2360
