등록일,제목,링크
2023-02-07,"중국, 한국발 중국행 항공 탑승객 전면 코로나19 검사 실시(2.1부터)..",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19525
2023-02-03,경기도형 대학생 취업브리지 사업 학기제 현장실습 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19509
2023-02-02,2023학년도 1학기 표준 현장실습학기제 운영 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19508
2023-02-02,2022학년도 재학생 교육만족도 조사 경품 추첨 결과 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19506
2023-02-01,2023년 학생예비군 대원 신고 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19496
2023-01-26,교직관련 규정 개정(안) 의견수렴,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19474
2023-01-25,2023학년도 대학일자리플러스센터 취업홍보대사 8기 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=8&mode=view&idx=19464
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=14618
2023-01-25,학사 관련 규정 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19461
2023-01-20,2023학년도 1학기 강사 및 비전임교원 공개채용 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19453
2023-01-18,2023학년도 1학기 학생생활관 기숙사생 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19443
2023-01-18,2023 빛가람 기술사업화정책 최고위과정 제8기 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19441
2023-01-17,"[학생상담센터] 온라인 심리특강 5탄 ""애착과 연애"" 참여 안내",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19435
2023-01-17,2023학년도 전기 대학원 신(편)입생 추가 2차 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19434
2023-01-16,2023년 동신대학교 학생상담센터 객원상담원 모집 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19432
2023-01-16,2023년 동신대학교 학생상담센터 상담수련과정 상담수련생 모집 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19431
2023-01-16,"[학생상담센터] 학사경고자 대상 학업동기강화 ""학업 올리GO! 희망 올리..",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19428
2023-01-10,2023학년도 1학기 전임교원 특별채용 초빙공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=9&mode=view&idx=19412
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=14618
2023-01-05,마감![국제교육원]LOVE DONGSHIN CAMP - 추가 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19400
2023-01-03,2023학년도 교양 교육과정 개편 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19387
2022-12-27,2023년도 지역인재 7급 수습직원 선발시험 참가학생 학과추천 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19367
2022-12-22,마감![국제교육원]LOVE DONGSHIN CAMP - Make Dong..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19349
2022-12-21,[중앙도서관] 방학중 만화 장기대출 서비스 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19348
2022-12-21,2022학년도 동신대 핵심역량진단검사(D-CESA) 경품 추첨 결과 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19345
2022-12-20,2023학년도 대학일자리플러스센터 취업홍보대사 8기 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19337
2022-12-19,[인권센터] 2022년 동신 양성평등 및 인권 주간 후기 공모전 결과 안..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19336
2022-12-19,2023학년도 편입학 모집요강 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19333
2022-12-16,2022학년도 재학생 교육만족도 조사,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=10&mode=view&idx=19330
